jerseyNumber,person.id,person.fullName,person.link,position.code,position.name,position.type,position.abbreviation,id_split,fullName,link,firstName,lastName,primaryNumber,birthDate,birthCity,birthStateProvince,birthCountry,nationality,height,weight,active,rookie,shootsCatches,rosterStatus,primaryPosition,currentAge,alternateCaptain,captain,currentTeam,timeOnIce,assists,goals,pim,shots,games,hits,powerPlayGoals,powerPlayPoints,powerPlayTimeOnIce,evenTimeOnIce,penaltyMinutes,faceOffPct,shotPct,gameWinningGoals,overTimeGoals,shortHandedGoals,shortHandedPoints,shortHandedTimeOnIce,blocked,plusMinus,points,shifts,timeOnIcePerGame,evenTimeOnIcePerGame,shortHandedTimeOnIcePerGame,powerPlayTimeOnIcePerGame,stat.id,ot,shutouts,ties,wins,losses,saves,powerPlaySaves,shortHandedSaves,evenSaves,shortHandedShots,evenShots,powerPlayShots,savePercentage,goalAgainstAverage,gamesStarted,shotsAgainst,goalsAgainst,powerPlaySavePercentage,shortHandedSavePercentage,evenStrengthSavePercentage,id,home.timeOnIce,home.assists,home.goals,home.pim,home.shots,home.games,home.hits,home.powerPlayGoals,home.powerPlayPoints,home.powerPlayTimeOnIce,home.evenTimeOnIce,home.penaltyMinutes,home.shotPct,home.gameWinningGoals,home.overTimeGoals,home.shortHandedGoals,home.shortHandedPoints,home.shortHandedTimeOnIce,home.blocked,home.plusMinus,home.points,home.shifts,home.timeOnIcePerGame,home.evenTimeOnIcePerGame,home.shortHandedTimeOnIcePerGame,home.powerPlayTimeOnIcePerGame,away.timeOnIce,away.assists,away.goals,away.pim,away.shots,away.games,away.hits,away.powerPlayGoals,away.powerPlayPoints,away.powerPlayTimeOnIce,away.evenTimeOnIce,away.penaltyMinutes,away.shotPct,away.gameWinningGoals,away.overTimeGoals,away.shortHandedGoals,away.shortHandedPoints,away.shortHandedTimeOnIce,away.blocked,away.plusMinus,away.points,away.shifts,away.timeOnIcePerGame,away.evenTimeOnIcePerGame,away.shortHandedTimeOnIcePerGame,away.powerPlayTimeOnIcePerGame,home.ot,home.shutouts,home.wins,home.losses,home.saves,home.powerPlaySaves,home.shortHandedSaves,home.evenSaves,home.shortHandedShots,home.evenShots,home.powerPlayShots,home.savePercentage,home.goalAgainstAverage,home.gamesStarted,home.shotsAgainst,home.goalsAgainst,home.powerPlaySavePercentage,home.shortHandedSavePercentage,home.evenStrengthSavePercentage,away.ot,away.shutouts,away.wins,away.losses,away.saves,away.powerPlaySaves,away.shortHandedSaves,away.evenSaves,away.shortHandedShots,away.evenShots,away.powerPlayShots,away.savePercentage,away.goalAgainstAverage,away.gamesStarted,away.shotsAgainst,away.goalsAgainst,away.powerPlaySavePercentage,away.shortHandedSavePercentage,away.evenStrengthSavePercentage,teamId,teamLoc,teamName
44,8468498,Brooks Orpik,/api/v1/people/8468498,D,Defenseman,Defenseman,D,8468498,Brooks Orpik,/api/v1/people/8468498,Brooks,Orpik,44,1980-09-26,San Francisco,CA,USA,USA,"6' 3""",217,False,False,L,Y,"{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}",,,,,1568:33,10.0,0.0,68.0,54.0,81,218.0,0.0,0.0,01:51,1314:29,68,0.0,0.0,0.0,0.0,0.0,0.0,252:13,168.0,-9.0,10.0,1797.0,19:21,16:13,03:06,00:01,8468498,,,,,,,,,,,,,,,,,,,,,8468498,787:51,2.0,0.0,31.0,28.0,41,118.0,0.0,0.0,01:01,670:33,31,0.0,0.0,0.0,0.0,0.0,116:17,84.0,8.0,2.0,894.0,19:12,16:21,02:50,00:01,780:42,8.0,0.0,37.0,26.0,40,100.0,0.0,0.0,00:50,643:56,37,0.0,0.0,0.0,0.0,0.0,135:56,84.0,-17.0,8.0,903.0,19:31,16:05,03:23,00:01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
8,8471214,Alex Ovechkin,/api/v1/people/8471214,L,Left Wing,Forward,LW,8471214,Alex Ovechkin,/api/v1/people/8471214,Alex,Ovechkin,8,1985-09-17,Moscow,,RUS,RUS,"6' 3""",238,True,False,R,Y,"{'code': 'L', 'name': 'Left Wing', 'type': 'Forward', 'abbreviation': 'LW'}",35.0,False,True,"{'id': 15, 'name': 'Washington Capitals', 'link': '/api/v1/teams/15'}",1651:50,38.0,49.0,32.0,355.0,82,139.0,17.0,31.0,344:51,1304:31,32,37.5,13.8,7.0,3.0,0.0,0.0,02:28,21.0,3.0,87.0,1730.0,20:08,15:54,00:01,04:12,8471214,,,,,,,,,,,,,,,,,,,,,8471214,836:24,18.0,26.0,12.0,173.0,41,62.0,11.0,20.0,176:23,658:18,12,0.0,4.0,1.0,0.0,0.0,01:43,12.0,-2.0,44.0,861.0,20:24,16:03,00:02,04:18,815:26,20.0,23.0,20.0,182.0,41,77.0,6.0,11.0,168:28,646:13,20,0.0,3.0,2.0,0.0,0.0,00:45,9.0,5.0,43.0,869.0,19:53,15:45,00:01,04:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
77,8471698,T.J. Oshie,/api/v1/people/8471698,R,Right Wing,Forward,RW,8471698,T.J. Oshie,/api/v1/people/8471698,T.J.,Oshie,77,1986-12-23,Everett,WA,USA,USA,"5' 11""",196,True,False,R,Y,"{'code': 'R', 'name': 'Right Wing', 'type': 'Forward', 'abbreviation': 'RW'}",34.0,False,False,"{'id': 15, 'name': 'Washington Capitals', 'link': '/api/v1/teams/15'}",1362:27,29.0,18.0,31.0,127.0,74,124.0,9.0,18.0,249:05,1055:15,31,47.86,14.17,3.0,0.0,0.0,0.0,58:07,54.0,2.0,47.0,1541.0,18:24,14:15,00:47,03:21,8471698,,,,,,,,,,,,,,,,,,,,,8471698,669:38,15.0,6.0,16.0,65.0,36,69.0,4.0,9.0,127:14,516:43,16,0.0,3.0,0.0,0.0,0.0,25:41,29.0,5.0,21.0,743.0,18:36,14:21,00:42,03:32,692:49,14.0,12.0,15.0,62.0,38,55.0,5.0,9.0,121:51,538:32,15,0.0,0.0,0.0,0.0,0.0,32:26,25.0,-3.0,26.0,798.0,18:13,14:10,00:51,03:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
15,8471702,Matt Niskanen,/api/v1/people/8471702,D,Defenseman,Defenseman,D,8471702,Matt Niskanen,/api/v1/people/8471702,Matt,Niskanen,15,1986-12-06,Virginia,MN,USA,USA,"6' 1""",203,True,False,R,N,"{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}",34.0,False,False,"{'id': 4, 'name': 'Philadelphia Flyers', 'link': '/api/v1/teams/4'}",1537:17,22.0,7.0,36.0,120.0,68,117.0,0.0,0.0,34:48,1317:30,36,0.0,5.83,1.0,0.0,0.0,1.0,184:59,98.0,24.0,29.0,1690.0,22:36,19:22,02:43,00:30,8471702,,,,,,,,,,,,,,,,,,,,,8471702,802:40,13.0,6.0,22.0,72.0,35,71.0,0.0,0.0,21:49,689:01,22,0.0,1.0,0.0,0.0,1.0,91:50,49.0,18.0,19.0,862.0,22:56,19:41,02:37,00:37,734:37,9.0,1.0,14.0,48.0,33,46.0,0.0,0.0,12:59,628:29,14,0.0,0.0,0.0,0.0,0.0,93:09,49.0,6.0,10.0,828.0,22:15,19:02,02:49,00:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
44,8471710,Taylor Chorney,/api/v1/people/8471710,D,Defenseman,Defenseman,D,8471710,Taylor Chorney,/api/v1/people/8471710,Taylor,Chorney,44,1987-04-27,Thunder Bay,ON,CAN,CAN,"6' 0""",193,False,False,L,Y,"{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}",,,,,328:27,3.0,1.0,8.0,14.0,25,21.0,0.0,0.0,00:00,285:06,8,0.0,7.14,0.0,0.0,0.0,1.0,43:21,31.0,10.0,4.0,442.0,13:08,11:24,01:44,00:00,8471710,,,,,,,,,,,,,,,,,,,,,8471710,151:14,1.0,1.0,2.0,7.0,12,6.0,0.0,0.0,00:00,135:11,2,0.0,0.0,0.0,0.0,0.0,16:03,14.0,3.0,2.0,201.0,12:36,11:15,01:20,00:00,177:13,2.0,0.0,6.0,7.0,13,15.0,0.0,0.0,00:00,149:55,6,0.0,0.0,0.0,0.0,1.0,27:18,17.0,7.0,2.0,241.0,13:37,11:31,02:06,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
19,8473563,Nicklas Backstrom,/api/v1/people/8473563,C,Center,Forward,C,8473563,Nicklas Backstrom,/api/v1/people/8473563,Nicklas,Backstrom,19,1987-11-23,Gävle,,SWE,SWE,"6' 1""",206,True,False,L,Y,"{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}",33.0,True,False,"{'id': 15, 'name': 'Washington Capitals', 'link': '/api/v1/teams/15'}",1592:30,50.0,21.0,46.0,165.0,81,37.0,7.0,26.0,284:50,1233:34,46,51.2,12.73,4.0,1.0,0.0,0.0,74:06,51.0,5.0,71.0,1811.0,19:39,15:13,00:54,03:30,8473563,,,,,,,,,,,,,,,,,,,,,8473563,820:25,24.0,10.0,18.0,88.0,41,15.0,3.0,12.0,152:02,634:02,18,0.0,2.0,1.0,0.0,0.0,34:21,32.0,5.0,34.0,908.0,20:00,15:27,00:50,03:42,772:05,26.0,11.0,28.0,77.0,40,22.0,4.0,14.0,132:48,599:32,28,0.0,2.0,0.0,0.0,0.0,39:45,19.0,0.0,37.0,903.0,19:18,14:59,00:59,03:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
16,8474061,Anthony Peluso,/api/v1/people/8474061,R,Right Wing,Forward,RW,8474061,Anthony Peluso,/api/v1/people/8474061,Anthony,Peluso,16,1989-04-18,North York,ON,CAN,CAN,"6' 3""",225,False,False,R,N,"{'code': 'R', 'name': 'Right Wing', 'type': 'Forward', 'abbreviation': 'RW'}",,,,,09:17,0.0,0.0,4.0,0.0,2,4.0,0.0,0.0,00:00,09:17,4,0.0,0.0,0.0,0.0,0.0,0.0,00:00,0.0,0.0,0.0,16.0,04:38,04:38,00:00,00:00,8474061,,,,,,,,,,,,,,,,,,,,,8474061,820:25,24.0,10.0,18.0,88.0,41,15.0,3.0,12.0,152:02,634:02,18,0.0,2.0,1.0,0.0,0.0,34:21,32.0,5.0,34.0,908.0,20:00,15:27,00:50,03:42,09:17,0.0,0.0,4.0,0.0,2,4.0,0.0,0.0,00:00,09:17,4,,0.0,0.0,0.0,0.0,00:00,0.0,0.0,0.0,16.0,04:38,04:38,00:00,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
20,8474189,Lars Eller,/api/v1/people/8474189,C,Center,Forward,C,8474189,Lars Eller,/api/v1/people/8474189,Lars,Eller,20,1989-05-08,Rodovre,,DNK,DNK,"6' 2""",208,True,False,L,Y,"{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}",31.0,False,False,"{'id': 15, 'name': 'Washington Capitals', 'link': '/api/v1/teams/15'}",1239:21,20.0,18.0,38.0,161.0,81,71.0,3.0,6.0,95:22,997:31,38,49.26,11.18,2.0,0.0,0.0,0.0,146:28,69.0,-6.0,38.0,1539.0,15:18,12:18,01:48,01:10,8474189,,,,,,,,,,,,,,,,,,,,,8474189,606:31,12.0,13.0,12.0,77.0,40,27.0,2.0,4.0,47:43,493:50,12,0.0,2.0,0.0,0.0,0.0,64:58,37.0,9.0,25.0,746.0,15:09,12:20,01:37,01:11,632:50,8.0,5.0,26.0,84.0,41,44.0,1.0,2.0,47:39,503:41,26,0.0,0.0,0.0,0.0,0.0,81:30,32.0,-15.0,13.0,793.0,15:26,12:17,01:59,01:09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
83,8474291,Jay Beagle,/api/v1/people/8474291,C,Center,Forward,C,8474291,Jay Beagle,/api/v1/people/8474291,Jay,Beagle,83,1985-10-16,Calgary,AB,CAN,CAN,"6' 3""",210,True,False,R,Y,"{'code': 'C', 'name': 'Center', 'type': 'Forward', 'abbreviation': 'C'}",35.0,False,False,"{'id': 23, 'name': 'Vancouver Canucks', 'link': '/api/v1/teams/23'}",983:15,15.0,7.0,16.0,65.0,79,69.0,0.0,0.0,01:58,781:53,16,58.51,10.77,2.0,0.0,1.0,1.0,199:24,44.0,3.0,22.0,1421.0,12:26,09:53,02:31,00:01,8474291,,,,,,,,,,,,,,,,,,,,,8474291,478:55,11.0,3.0,10.0,37.0,39,33.0,0.0,0.0,01:19,385:52,10,0.0,1.0,0.0,0.0,0.0,91:44,28.0,8.0,14.0,696.0,12:16,09:53,02:21,00:02,504:20,4.0,4.0,6.0,28.0,40,36.0,0.0,0.0,00:39,396:01,6,0.0,1.0,0.0,1.0,1.0,107:40,16.0,-5.0,8.0,725.0,12:36,09:54,02:41,00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
74,8474590,John Carlson,/api/v1/people/8474590,D,Defenseman,Defenseman,D,8474590,John Carlson,/api/v1/people/8474590,John,Carlson,74,1990-01-10,Natick,MA,USA,USA,"6' 3""",215,True,False,R,Y,"{'code': 'D', 'name': 'Defenseman', 'type': 'Defenseman', 'abbreviation': 'D'}",31.0,True,False,"{'id': 15, 'name': 'Washington Capitals', 'link': '/api/v1/teams/15'}",2032:06,53.0,15.0,32.0,237.0,82,47.0,4.0,32.0,303:43,1512:54,32,0.0,6.33,4.0,1.0,0.0,0.0,215:29,146.0,0.0,68.0,2164.0,24:46,18:27,02:37,03:42,8474590,,,,,,,,,,,,,,,,,,,,,8474590,1022:08,32.0,9.0,14.0,120.0,41,29.0,3.0,22.0,159:46,764:58,14,0.0,3.0,1.0,0.0,0.0,97:24,83.0,7.0,41.0,1074.0,24:55,18:39,02:22,03:53,1009:58,21.0,6.0,18.0,117.0,41,18.0,1.0,10.0,143:57,747:56,18,0.0,1.0,0.0,0.0,0.0,118:05,63.0,-7.0,27.0,1090.0,24:38,18:14,02:52,03:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,Washington,Capitals
